dir,json_model_name,file,leaderboard,leaderboard_bbh,leaderboard_bbh_boolean_expressions,leaderboard_bbh_causal_judgement,leaderboard_bbh_date_understanding,leaderboard_bbh_disambiguation_qa,leaderboard_bbh_formal_fallacies,leaderboard_bbh_geometric_shapes,leaderboard_bbh_hyperbaton,leaderboard_bbh_logical_deduction_five_objects,leaderboard_bbh_logical_deduction_seven_objects,leaderboard_bbh_logical_deduction_three_objects,leaderboard_bbh_movie_recommendation,leaderboard_bbh_navigate,leaderboard_bbh_object_counting,leaderboard_bbh_penguins_in_a_table,leaderboard_bbh_reasoning_about_colored_objects,leaderboard_bbh_ruin_names,leaderboard_bbh_salient_translation_error_detection,leaderboard_bbh_snarks,leaderboard_bbh_sports_understanding,leaderboard_bbh_temporal_sequences,leaderboard_bbh_tracking_shuffled_objects_five_objects,leaderboard_bbh_tracking_shuffled_objects_seven_objects,leaderboard_bbh_tracking_shuffled_objects_three_objects,leaderboard_bbh_web_of_lies,leaderboard_gpqa,leaderboard_gpqa_diamond,leaderboard_gpqa_extended,leaderboard_gpqa_main,leaderboard_ifeval,leaderboard_math_hard,leaderboard_math_algebra_hard,leaderboard_math_counting_and_prob_hard,leaderboard_math_geometry_hard,leaderboard_math_intermediate_algebra_hard,leaderboard_math_num_theory_hard,leaderboard_math_prealgebra_hard,leaderboard_math_precalculus_hard,leaderboard_mmlu_pro,leaderboard_musr,leaderboard_musr_murder_mysteries,leaderboard_musr_object_placements,leaderboard_musr_team_allocation,leaderboard_arc_challenge
01-ai_Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,results_2024-06-16T18-02-27.668102.json,48.890890665465605,51.24110397500434,86.8,56.14973262032086,52.0,64.0,52.0,47.199999999999996,66.4,44.4,36.4,62.8,66.4,46.800000000000004,30.0,60.95890410958904,59.199999999999996,66.4,50.4,57.30337078651685,74.4,58.8,13.200000000000001,11.600000000000001,24.4,48.8,30.87248322147651,32.82828282828283,30.21978021978022,30.80357142857143,37.52310536044362,12.613293051359516,21.824104234527688,8.130081300813007,6.0606060606060606,2.142857142857143,11.688311688311687,25.906735751295333,5.9259259259259265,39.935172872340424,40.87301587301587,54.400000000000006,26.171875,42.4,60.83617747440273
01-ai_Yi-34B,01-ai/Yi-34B,results_2024-06-17T01-51-43.500501.json,52.302668618398826,54.504426314875886,84.0,56.14973262032086,68.4,63.6,56.39999999999999,49.6,73.2,39.2,30.4,54.400000000000006,89.60000000000001,42.0,38.800000000000004,44.52054794520548,54.0,84.0,54.400000000000006,73.03370786516854,85.6,51.6,18.8,17.2,32.0,48.8,36.66107382550335,35.858585858585855,36.446886446886445,37.276785714285715,26.98706099815157,4.45619335347432,7.491856677524431,4.0650406504065035,0.7575757575757576,1.0714285714285714,3.2467532467532463,9.844559585492227,2.2222222222222223,44.1156914893617,41.13756613756614,54.800000000000004,35.15625,33.6,64.59044368600682
01-ai_Yi-34B-200K,01-ai/Yi-34B-200K,results_2024-06-17T01-54-37.398814.json,51.86352888188267,54.01839958340566,85.2,63.63636363636363,59.599999999999994,71.6,54.0,44.4,73.2,52.0,46.800000000000004,66.4,81.2,50.8,39.2,53.42465753424658,54.400000000000006,72.39999999999999,45.2,79.7752808988764,84.0,14.399999999999999,18.0,14.399999999999999,32.800000000000004,49.2,35.65436241610738,32.323232323232325,36.26373626373626,36.38392857142857,12.754158964879853,4.45619335347432,5.537459283387622,3.2520325203252036,1.5151515151515151,1.4285714285714286,1.948051948051948,12.435233160621761,3.7037037037037033,45.34574468085106,38.095238095238095,58.8,28.515625,27.200000000000003,66.6382252559727
01-ai_Yi-34B-Chat,01-ai/Yi-34B-Chat,results_2025-02-13T18-27-04.338360.json,51.89730886161469,55.268182607186255,79.60000000000001,66.31016042780749,60.8,72.0,60.0,40.400000000000006,74.4,44.800000000000004,37.6,61.199999999999996,81.2,58.8,34.4,49.31506849315068,60.8,81.6,52.0,82.58426966292134,85.6,33.6,14.799999999999999,17.599999999999998,36.0,49.2,33.808724832214764,32.82828282828283,34.43223443223443,33.482142857142854,46.21072088724584,6.268882175226587,10.097719869706841,5.691056910569105,2.272727272727273,1.0714285714285714,2.5974025974025974,17.098445595854923,1.4814814814814816,40.93251329787234,39.682539682539684,55.60000000000001,26.953125,36.8,61.60409556313993
01-ai_Yi-6B,01-ai/Yi-6B,results_2024-06-16T17-47-09.271300.json,41.80835491498705,42.66620378406527,65.60000000000001,57.21925133689839,41.199999999999996,60.8,54.0,37.6,50.4,24.0,17.599999999999998,40.0,79.60000000000001,46.400000000000006,31.6,42.465753424657535,30.8,44.0,27.200000000000003,65.73033707865169,74.0,25.6,16.0,17.599999999999998,35.199999999999996,49.6,26.929530201342285,26.767676767676768,26.73992673992674,27.232142857142854,24.399260628465804,1.5105740181268883,2.2801302931596092,2.4390243902439024,3.0303030303030303,0.7142857142857143,1.2987012987012987,0.5181347150259068,0.7407407407407408,29.911901595744684,39.285714285714285,52.400000000000006,28.90625,36.8,54.351535836177476
01-ai_Yi-6B-200K,01-ai/Yi-6B-200K,results_2024-06-16T17-48-55.414532.json,42.31505461096724,42.45790661343517,68.8,56.14973262032086,43.2,63.2,52.400000000000006,28.000000000000004,54.400000000000006,28.4,29.599999999999998,41.6,72.8,57.599999999999994,29.599999999999998,43.15068493150685,28.799999999999997,39.6,28.000000000000004,65.73033707865169,73.2,14.399999999999999,14.399999999999999,15.2,33.2,48.0,28.187919463087248,23.232323232323232,30.76923076923077,27.232142857142854,7.763401109057301,1.2084592145015105,0.6514657980456027,1.6260162601626018,1.5151515151515151,1.0714285714285714,0.6493506493506493,3.1088082901554404,0.0,28.440824468085108,45.767195767195766,54.400000000000006,32.421875,50.8,53.7542662116041
01-ai_Yi-6B-Chat,01-ai/Yi-6B-Chat,results_2024-06-16T17-51-39.036011.json,40.69361558383065,40.87831973615692,54.0,63.101604278074866,43.2,44.4,52.800000000000004,27.6,50.0,27.200000000000003,28.000000000000004,41.199999999999996,64.8,44.4,33.6,41.0958904109589,37.2,43.6,34.4,58.42696629213483,71.2,24.0,11.600000000000001,12.4,34.8,48.8,29.446308724832214,29.797979797979796,30.952380952380953,27.455357142857146,31.23844731977819,0.6797583081570997,1.3029315960912053,0.0,0.0,0.0,0.6493506493506493,1.5544041450777202,0.7407407407407408,30.61003989361702,36.77248677248677,51.2,23.4375,36.0,53.7542662116041
01-ai_Yi-9B,01-ai/Yi-9B,results_2024-06-17T09-47-58.683900.json,47.66355140186916,49.2622808540184,80.4,59.35828877005348,55.2,59.199999999999996,49.2,36.8,56.39999999999999,29.2,32.0,43.2,86.4,50.8,36.8,44.52054794520548,46.0,70.8,47.599999999999994,58.42696629213483,79.60000000000001,52.800000000000004,17.599999999999998,10.8,34.0,48.4,31.79530201342282,29.292929292929294,32.967032967032964,31.473214285714285,22.920517560073936,4.380664652567976,7.166123778501629,0.0,4.545454545454546,1.7857142857142856,5.194805194805195,8.290155440414509,0.7407407407407408,35.73803191489361,40.476190476190474,54.800000000000004,32.421875,34.4,60.580204778157
01-ai_Yi-9B-200K,01-ai/Yi-9B-200K,results_2024-06-16T17-43-23.132103.json,46.49251210449274,47.80420065960771,80.4,55.61497326203209,58.4,66.4,49.6,33.6,66.0,39.2,36.4,47.199999999999996,81.2,42.0,40.0,43.15068493150685,47.599999999999994,56.8,41.199999999999996,58.42696629213483,74.0,28.4,13.200000000000001,12.0,32.4,47.199999999999996,31.543624161073826,29.797979797979796,29.853479853479854,34.375,20.147874306839185,5.81570996978852,9.77198697068404,3.2520325203252036,3.0303030303030303,0.35714285714285715,3.896103896103896,15.025906735751295,2.2222222222222223,36.22007978723404,42.857142857142854,52.400000000000006,32.421875,44.0,57.5938566552901
01-ai_Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,results_2024-09-14T00-02-12.867980.json,43.62433519263199,48.029855927790315,88.4,51.33689839572193,46.0,53.2,50.0,38.0,48.4,42.4,30.8,64.0,66.4,67.60000000000001,33.2,44.52054794520548,61.6,38.4,43.6,59.55056179775281,61.6,51.2,21.2,14.799999999999999,34.0,45.2,24.748322147651006,19.696969696969695,26.373626373626376,25.0,45.65619223659889,2.9456193353474323,4.234527687296417,1.6260162601626018,3.0303030303030303,0.7142857142857143,2.5974025974025974,5.699481865284974,2.2222222222222223,24.251994680851062,39.81481481481482,52.0,26.953125,40.8,
