N_B,D_B,D_over_N,Q,L,c_base,c_qual,c_attn,c_tot,f_base,f_qual,f_attn,form,L_ctx,C,attn_over_train
4.8420232322126875,188.58926356399604,38.94844252488547,0.9999999999999998,2.1769885609787742,5.478921573136503e+21,8.560236112134489e+20,3.665054815650138e+21,1.0000000000000088e+22,0.5478921573136503,0.08560236112134488,0.3665054815650138,幂函数型,20068.11796843451,1e+22,0.6689372656144837
4.7050966338018245,183.86077135600868,39.07693840656468,1.0,2.1812003168945173,5.19049617837218e+21,8.345605602476538e+20,3.974943261380211e+21,1.0000000000000044e+22,0.519049617837218,0.08345605602476538,0.3974943261380211,幂函数型,22974.354231930945,1e+22,0.7658118077310315
4.561948228539961,178.86538801249915,39.20811439584104,1.0,2.1857916349085382,4.8958478399444e+21,8.118860664387553e+20,4.292266093617514e+21,1.000000000000067e+22,0.48958478399443994,0.08118860664387553,0.4292266093617514,幂函数型,26301.467492091786,1e+22,0.8767155830697262
4.413320634158952,173.62198923036695,39.34044308644576,1.0,2.190777752846352,4.5974970456846107e+21,7.880858082708777e+20,4.614417146044577e+21,1.0000000000000065e+22,0.4597497045684611,0.07880858082708776,0.4614417146044577,幂函数型,30110.408556167633,1e+22,1.003680285205588
4.260068857327147,168.1541826699492,39.47217481725225,0.9999999999999998,2.1961718906997647,4.298090380929305e+21,7.632669430353324e+20,4.938642676035437e+21,1.0000000000000075e+22,0.4298090380929305,0.07632669430353324,0.49386426760354374,幂函数型,34470.95504051013,1e+22,1.1490318346836712
4.103134498852928,162.48989718062927,39.60140649205015,1.0,2.201985074676884,4.00030741702143e+21,7.375562422887544e+20,5.262136340690516e+21,1.00000000000007e+22,0.40003074170214303,0.07375562422887544,0.5262136340690516,幂函数型,39462.98965649464,1e+22,1.3154329885498213
3.9435160971962153,156.66076506374338,39.726163454772504,1.0,2.2082260397582507,3.706765492967679e+21,7.110972878889261e+20,5.582137219143401e+21,1.0000000000000006e+22,0.3706765492967679,0.07110972878889261,0.55821372191434,幂函数型,45177.963615990266,1e+22,1.505932120533009
3.782244613774311,150.70107237003646,39.84434846472066,1.0,2.214901214581027,3.419929915569499e+21,6.840457073006272e+20,5.896024377129945e+21,1.0000000000000071e+22,0.3419929915569499,0.06840457073006272,0.5896024377129945,幂函数型,51720.57196512565,1e+22,1.7240190655041883
3.6203472165396033,144.64702346930363,39.95390906388255,1.0,2.2220147865266298,3.1420346927869917e+21,6.565658354111569e+20,6.201399471801845e+21,9.999999999999994e+21,0.3142034692786992,0.06565658354111568,0.6201399471801845,幂函数型,59210.67153750478,1e+22,1.9736890512501593
3.4588220556755447,138.5356182009914,40.0528318517195,1.0,2.229568839400987,2.875020310381413e+21,6.288256178160324e+20,6.496154071802624e+21,1.000000000000007e+22,0.28750203103814126,0.06288256178160324,0.6496154071802624,幂函数型,67785.47666267598,1e+22,2.259515888755866
3.298611227763876,132.40373382407572,40.13923578191178,1.0,2.2375635516924333,2.620490657939735e+21,6.009924437070011e+20,6.778516898353282e+21,1.0000000000000017e+22,0.26204906579397347,0.06009924437070011,0.6778516898353282,幂函数型,77602.07285397433,1e+22,2.586735761799144
3.140582222803966,126.2871292932869,40.211374940706236,1.0,2.2459974404800556,2.3796906793646566e+21,5.7322862619236506e+20,7.047080694443003e+21,1.0000000000000025e+22,0.23796906793646566,0.057322862619236505,0.7047080694443003,幂函数型,88840.29452505741,1e+22,2.9613431508352472
2.9855114135338012,120.21968265723021,40.26770157777832,1.0,2.2548676347993966,2.1535034082274338e+21,5.4568794077853365e+20,7.300808650994072e+21,1.000000000000004e+22,0.21535034082274337,0.054568794077853366,0.7300808650994072,幂函数型,101706.0194532512,1e+22,3.390200648441707
2.83407281030033,114.23278021753846,40.30693205988349,1.0,2.2641701625576336,1.942464098757235e+21,5.185128527085363e+20,7.539023048534225e+21,9.999999999999996e+21,0.1942464098757235,0.05185128527085363,0.7539023048534225,幂函数型,116434.94034238679,1e+22,3.88116467807956
2.6868356876438613,108.35472556756464,40.3280059386821,0.9999999999999996,2.2739002366414476,1.7467880614787364e+21,4.9183183453555157e+20,7.761380103985747e+21,1.0000000000000036e+22,0.17467880614787365,0.04918318345355516,0.7761380103985748,幂函数型,133296.88257799373,1e+22,4.443229419266458
2.544264421219953,102.61040168148848,40.33008551535995,1.0,2.2840525282833295,1.566407965471795e+21,4.657578323150075e+20,7.967834202213288e+21,1.000000000000009e+22,0.1566407965471795,0.046575783231500745,0.7967834202213289,幂函数型,152600.74727365316,1e+22,5.086691575788439
2.406717374174261,97.0212713130031,40.31269826449434,0.9999999999999996,2.2946214186271066,1.4010166760008762e+21,4.403882674142451e+20,8.158595056584974e+21,1.0000000000000096e+22,0.14010166760008763,0.04403882674142451,0.8158595056584974,幂函数型,174700.170162283,1e+22,5.823339005409434
2.274461154101773,91.60503691421363,40.275489756777205,1.0,2.3056012223849986,1.2501125878886273e+21,4.158034928538588e+20,8.334083919257517e+21,1.0000000000000002e+22,0.12501125878886274,0.041580349285385884,0.8334083919257517,幂函数型,200000.00000000003,1e+22,6.666666666666668
