N_B,D_B,D_over_N,Q,L,c_base,c_qual,c_attn,c_tot,f_base,f_qual,f_attn,form,L_ctx,C
1.1486653116616978,8.402249262982659,7.314793245412523,0.9999999999999999,2.7142730473189314,5.790823360993948e+19,3.8138564308955185e+19,3.953202081105202e+18,9.999999999999985e+19,0.5790823360993947,0.38138564308955186,0.039532020811052025,幂函数型,2048,1e+20
1.1911964564509887,9.216376050074564,7.737074770633158,1.0,2.6924323523516405,6.587108695301149e+19,4.183395894119272e+19,4.496799535992251e+18,1.1220184543019645e+20,0.5870766804276091,0.3728455515218654,0.040077768050524785,幂函数型,2048,1.1220184543019654e+20
1.2356213566727068,10.104604199939226,8.177751335691545,1.0,2.671142000042493,7.491278850101784e+19,4.586570631672968e+19,5.114046361669484e+18,1.25892541179417e+20,0.5950534304828676,0.36432425532950097,0.04062231418763042,幂函数型,2048,1.2589254117941713e+20
1.2820372530361992,11.073136448698941,8.637140943038013,1.0,2.6503853906944475,8.517704061111001e+19,5.026196121211312e+19,5.814752639051777e+18,1.412537544622749e+20,0.6030072682695204,0.35582743554994656,0.0411652961805326,幂函数型,2048,1.4125375446227496e+20
1.3305479377177223,12.128631880242823,9.115516650265878,1.0,2.630146449171385,9.682635681356705e+19,5.505294980740443e+19,6.610012625139511e+18,1.5848931924611098e+20,0.6109330097078004,0.34736063016281327,0.04170636012938584,幂函数型,2048,1.5848931924611108e+20
1.381262392725612,13.278243798320364,9.613121929801277,1.0,2.6104096090780007,1.1004443280037203e+20,6.027114159101471e+19,7.512366612505396e+18,1.7782794100389213e+20,0.6188253217078152,0.33892953633026374,0.042245141961920175,幂函数型,2048,1.778279410038923e+20
1.434295871416571,14.529646623152503,10.130159970970574,1.0,2.5911597974373155,1.2503887298837615e+20,6.595137144583892e+19,8.535987062673146e+18,1.9952623149688822e+20,0.62667886848916,0.33053985408864633,0.04278127742219333,幂函数型,2048,1.995262314968883e+20
1.489770062784233,15.891069314877685,10.666793293710608,1.0,2.5723824198480782,1.4204423598560354e+20,7.213099136128047e+19,9.696886509950538e+18,2.2387211385683454e+20,0.6344882957438829,0.3221973032666674,0.04331440098944908,幂函数型,2048,2.238721138568347e+20
1.5478140216892202,17.37132519658464,11.223134661634797,1.0,2.554063346104704,1.6132548428758172e+20,7.885000580267654e+19,1.1013153060698915e+19,2.5118864315095718e+20,0.6422483208790205,0.313907527082305,0.04384415203867448,幂函数型,2048,2.5118864315095718e+20
1.6085631344278684,18.979858156760116,11.799262180350071,1.0,2.5361888962627854,1.831818007658064e+20,8.615128142835932e+19,1.2505210932279048e+19,2.8183829312644478e+20,0.6499535557562545,0.3056762815041181,0.04437016273962696,幂函数型,2048,2.818382931264449e+20
