fold,n_valid,gamma,lambda_,SSE,RMSE
1,103,0.5,0.01,105.1629958431437,0.2802471381370615
1,103,0.5,0.1,128.6706009496913,0.309991207745527
1,103,0.5,1.0,184.6137560527904,0.3713143561022659
1,103,0.5,10.0,417.9314832550128,0.5586788823140704
1,103,0.5,100.0,760.3455276586326,0.7535554399573695
1,103,1.0,1e-06,145.38322133499395,0.32950867687614027
1,103,1.0,1e-05,145.30259654796134,0.3294172968292758
1,103,1.0,0.0001,144.53507545394586,0.328546116625616
1,103,1.0,0.001,139.23830372939796,0.3224698186888137
1,103,1.0,0.01,126.99696836936289,0.30796856425874525
1,103,1.0,0.1,131.35027889166514,0.31320249362066943
1,103,1.0,1.0,182.63989648430572,0.36932400601935556
1,103,1.0,10.0,393.0543649422641,0.54179628555645
1,103,1.0,100.0,743.3704266521519,0.7450962048504629
1,103,2.0,1e-06,168.76559902101172,0.355019063558461
1,103,2.0,1e-05,168.75286151125795,0.3550056658514064
1,103,2.0,0.0001,168.62704494492561,0.35487330091871966
1,103,2.0,0.001,167.5054160204594,0.3536911054487122
1,103,2.0,0.01,162.18009918363927,0.34802343751137826
1,103,2.0,0.1,160.4651732086938,0.34617851142005057
1,103,2.0,1.0,209.4986872953046,0.3955490670543621
1,103,2.0,10.0,439.5719855036365,0.5729605423148839
1,103,2.0,100.0,769.0802914688563,0.7578714598897045
1,103,4.0,1e-06,233.6298702439659,0.41770906027052856
1,103,4.0,1e-05,233.62831172408016,0.41770766702196427
1,103,4.0,0.0001,233.6128168058578,0.4176938149904758
1,103,4.0,0.001,233.46652078014807,0.4175630077091729
1,103,4.0,0.01,232.6112112035249,0.41679743039779205
1,103,4.0,0.1,236.53289581983046,0.42029622170613895
1,103,4.0,1.0,305.97235644679233,0.4780252167790091
1,103,4.0,10.0,585.3605778366069,0.6611826470674551
1,103,4.0,100.0,825.949821313143,0.7853921266579124
2,103,0.015625,1e-06,100.69873205075858,0.27423426155328917
2,103,0.015625,1e-05,94.28563652183783,0.2653581801928265
2,103,0.015625,0.0001,122.88870116886,0.3029463250383876
2,103,0.015625,0.001,160.128446852939,0.3458151034514829
2,103,0.015625,0.01,184.2344677829575,0.37093272801169724
2,103,0.015625,0.1,224.9575009356659,0.40988304214949184
2,103,0.015625,1.0,496.58201804064595,0.6089830514991188
2,103,0.015625,10.0,786.7975595390234,0.766551280720265
2,103,0.015625,100.0,850.8078890691498,0.7971232299125905
2,103,0.03125,1e-06,120.53014892341355,0.30002507851789084
2,103,0.03125,1e-05,95.49356210135075,0.2670525678803039
2,103,0.03125,0.0001,100.93726378519287,0.27455886783763594
2,103,0.03125,0.001,140.16426444758923,0.32354028419168895
2,103,0.03125,0.01,172.24685356811077,0.358661995285143
2,103,0.03125,0.1,199.40889618688595,0.3859063956696427
2,103,0.03125,1.0,390.0314594018047,0.5397088387466091
2,103,0.03125,10.0,731.0609173641922,0.7389014095451274
2,103,0.03125,100.0,843.2841444470089,0.7935908994209615
2,103,0.0625,1e-06,150.07695133987738,0.33478555478427696
2,103,0.0625,1e-05,111.79650925001992,0.2889507547113519
2,103,0.0625,0.0001,93.34919636092593,0.26403712986136324
2,103,0.0625,0.001,116.02287433846371,0.2943618486448489
2,103,0.0625,0.01,155.4141944153704,0.34068660016723634
2,103,0.0625,0.1,185.06024417824045,0.37176309658672335
2,103,0.0625,1.0,304.28555164375916,0.47670573544947525
2,103,0.0625,10.0,650.4606772996758,0.6969798698557044
2,103,0.0625,100.0,829.5280354379504,0.7870915422749754
2,103,0.125,1e-06,161.45570290185657,0.34724532406826086
2,103,0.125,1e-05,138.27374338513775,0.32135093781039276
